journal_entry_id,posting_date,prepared_by,entry_date,description
1528144,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528145,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528146,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528147,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528148,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528149,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528150,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528151,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528152,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528153,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528154,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528155,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528156,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528157,2024-01-02,TREPAT-TS2\DRESPFACTURACION,2024-01-02,
1528158,2024-01-02,TREPAT-TS2\DRESPFACTURACION,2024-01-02,
1528159,2024-01-02,TREPAT-TS2\DRESPFACTURACION,2024-01-02,
1528160,2024-01-02,TREPAT-TS2\DRESPFACTURACION,2024-01-02,
1528161,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528162,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528163,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528164,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528165,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528166,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528167,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528168,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528169,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528170,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528171,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528172,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528173,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528174,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528175,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528176,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528177,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528178,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528179,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528180,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528181,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528182,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528183,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528184,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528185,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528186,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528187,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528188,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528189,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528190,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528191,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528192,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528193,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528194,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528195,2024-01-02,TREPAT-TS2\DTONYI,2024-01-02,
1528196,2024-01-02,TREPAT-TS2\DTONYI,2024-01-02,
1528197,2024-01-02,TREPAT-TS2\DTONYI,2024-01-02,
1528198,2024-01-02,TREPAT-TS2\DTONYI,2024-01-02,
1528199,2024-01-02,TREPAT-TS2\DMARIBELR,2024-01-02,
1528200,2024-01-02,TREPAT-TS2\DMARIBELR,2024-01-02,
1528201,2024-01-02,TREPAT-TS2\DMARIBELR,2024-01-02,
1528202,2024-01-02,TREPAT-TS2\DMARIBELR,2024-01-02,
1528203,2024-01-02,TREPAT-TS2\DRESPFACTURACION,2024-01-02,
1528204,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528205,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528206,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528207,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528208,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528209,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528210,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528211,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
