journal_entry_id,posting_date,prepared_by
203,03/04/2024,Pablo Mayoral
204,03/04/2024,Pablo Mayoral
205,03/04/2024,Pablo Mayoral
206,03/04/2024,Pablo Mayoral
207,01/04/2024,Ignacio Corral Aragón
208,01/04/2024,Ignacio Corral Aragón
209,01/04/2024,Ignacio Corral Aragón
210,02/04/2024,Pablo Mayoral
211,01/04/2024,Ignacio Corral Aragón
212,03/04/2024,Pablo Mayoral
213,01/04/2024,Ignacio Corral Aragón
214,01/04/2024,Pablo Mayoral
215,01/04/2024,Ignacio Corral Aragón
216,01/04/2024,Pablo Mayoral
217,01/04/2024,Ignacio Corral Aragón
218,01/04/2024,Ignacio Corral Aragón
219,01/04/2024,Pablo Mayoral
220,01/04/2024,Pablo Mayoral
221,01/04/2024,Ignacio Corral Aragón
222,01/04/2024,Pablo Mayoral
223,01/04/2024,Ignacio Corral Aragón
224,02/04/2024,Joanna Rodriguez Loaiza
225,01/04/2024,Pablo Mayoral
226,01/04/2024,Pablo Mayoral
227,01/04/2024,Ignacio Corral Aragón
228,02/04/2024,Joanna Rodriguez Loaiza
229,02/04/2024,Joanna Rodriguez Loaiza
230,03/04/2024,Joanna Rodriguez Loaiza
231,03/04/2024,Joanna Rodriguez Loaiza
232,03/04/2024,Joanna Rodriguez Loaiza
233,03/04/2024,Joanna Rodriguez Loaiza
234,03/04/2024,Joanna Rodriguez Loaiza
235,04/04/2024,Albert De Moya Palacio
236,04/04/2024,Albert De Moya Palacio
237,04/04/2024,Albert De Moya Palacio
238,04/04/2024,Albert De Moya Palacio
239,04/04/2024,Albert De Moya Palacio
240,04/04/2024,Albert De Moya Palacio
241,04/04/2024,Albert De Moya Palacio
242,04/04/2024,Albert De Moya Palacio
243,04/04/2024,Albert De Moya Palacio
244,04/04/2024,Pablo Mayoral
245,04/04/2024,Pablo Mayoral
246,04/04/2024,Pablo Mayoral
247,04/04/2024,Pablo Mayoral
248,04/04/2024,Pablo Mayoral
249,04/04/2024,Pablo Mayoral
250,04/04/2024,Pablo Mayoral
251,04/04/2024,Pablo Mayoral
252,04/04/2024,Pablo Mayoral
253,04/04/2024,Pablo Mayoral
254,04/04/2024,Pablo Mayoral
255,04/04/2024,Pablo Mayoral
256,04/04/2024,Pablo Mayoral
257,04/04/2024,Pablo Mayoral
258,04/04/2024,Pablo Mayoral
259,04/04/2024,Pablo Mayoral
260,04/04/2024,Pablo Mayoral
261,04/04/2024,Pablo Mayoral
262,04/04/2024,Pablo Mayoral
263,04/04/2024,Pablo Mayoral
264,04/04/2024,Pablo Mayoral
265,04/04/2024,Pablo Mayoral
266,04/04/2024,Pablo Mayoral
267,04/04/2024,Pablo Mayoral
268,04/04/2024,Pablo Mayoral
269,04/04/2024,Pablo Mayoral
270,04/04/2024,Pablo Mayoral
271,04/04/2024,Pablo Mayoral
272,04/04/2024,Pablo Mayoral
273,04/04/2024,Pablo Mayoral
274,04/04/2024,Pablo Mayoral
275,04/04/2024,Pablo Mayoral
276,04/04/2024,Pablo Mayoral
277,04/04/2024,Pablo Mayoral
278,04/04/2024,Pablo Mayoral
279,04/04/2024,Pablo Mayoral
280,01/04/2024,Ignacio Corral Aragón
281,04/04/2024,Pablo Mayoral
282,05/04/2024,Ignacio Corral Aragón
283,05/04/2024,Ignacio Corral Aragón
284,05/04/2024,Albert De Moya Palacio
285,05/04/2024,Albert De Moya Palacio
286,05/04/2024,Albert De Moya Palacio
287,05/04/2024,Albert De Moya Palacio
288,05/04/2024,Albert De Moya Palacio
289,05/04/2024,Albert De Moya Palacio
290,05/04/2024,Albert De Moya Palacio
291,05/04/2024,Albert De Moya Palacio
292,05/04/2024,Albert De Moya Palacio
293,05/04/2024,Albert De Moya Palacio
294,05/04/2024,Albert De Moya Palacio
295,05/04/2024,Albert De Moya Palacio
296,05/04/2024,Albert De Moya Palacio
297,05/04/2024,Albert De Moya Palacio
298,05/04/2024,Albert De Moya Palacio
299,05/04/2024,Albert De Moya Palacio
300,01/04/2024,Pablo Mayoral
301,05/04/2024,Albert De Moya Palacio
302,05/04/2024,Albert De Moya Palacio
303,05/04/2024,Albert De Moya Palacio
304,05/04/2024,Albert De Moya Palacio
305,05/04/2024,Albert De Moya Palacio
306,05/04/2024,Albert De Moya Palacio
307,05/04/2024,Albert De Moya Palacio
308,05/04/2024,Albert De Moya Palacio
309,05/04/2024,Albert De Moya Palacio
310,05/04/2024,Albert De Moya Palacio
311,05/04/2024,Albert De Moya Palacio
312,05/04/2024,Albert De Moya Palacio
313,05/04/2024,Albert De Moya Palacio
314,05/04/2024,Albert De Moya Palacio
315,05/04/2024,Albert De Moya Palacio
316,05/04/2024,Albert De Moya Palacio
317,05/04/2024,Albert De Moya Palacio
318,05/04/2024,Albert De Moya Palacio
319,05/04/2024,Albert De Moya Palacio
320,05/04/2024,Albert De Moya Palacio
321,05/04/2024,Albert De Moya Palacio
322,05/04/2024,Albert De Moya Palacio
323,05/04/2024,Albert De Moya Palacio
324,05/04/2024,Albert De Moya Palacio
325,05/04/2024,Albert De Moya Palacio
326,01/04/2024,Albert De Moya Palacio
327,05/04/2024,Albert De Moya Palacio
328,05/04/2024,Albert De Moya Palacio
329,05/04/2024,Albert De Moya Palacio
330,05/04/2024,Albert De Moya Palacio
331,05/04/2024,Albert De Moya Palacio
332,05/04/2024,Albert De Moya Palacio
333,05/04/2024,Albert De Moya Palacio
334,05/04/2024,Albert De Moya Palacio
335,05/04/2024,Albert De Moya Palacio
336,05/04/2024,Albert De Moya Palacio
337,05/04/2024,Albert De Moya Palacio
338,05/04/2024,Albert De Moya Palacio
339,04/04/2024,Joanna Rodriguez Loaiza
340,04/04/2024,Joanna Rodriguez Loaiza
341,04/04/2024,Joanna Rodriguez Loaiza
342,04/04/2024,Joanna Rodriguez Loaiza
343,04/04/2024,Joanna Rodriguez Loaiza
344,04/04/2024,Joanna Rodriguez Loaiza
345,05/04/2024,Joanna Rodriguez Loaiza
346,05/04/2024,Joanna Rodriguez Loaiza
347,05/04/2024,Joanna Rodriguez Loaiza
348,05/04/2024,Joanna Rodriguez Loaiza
349,05/04/2024,Joanna Rodriguez Loaiza
350,05/04/2024,Joanna Rodriguez Loaiza
351,05/04/2024,Joanna Rodriguez Loaiza
352,05/04/2024,Joanna Rodriguez Loaiza
353,05/04/2024,Joanna Rodriguez Loaiza
354,05/04/2024,Joanna Rodriguez Loaiza
355,05/04/2024,Joanna Rodriguez Loaiza
356,05/04/2024,Joanna Rodriguez Loaiza
357,05/04/2024,Joanna Rodriguez Loaiza
358,05/04/2024,Joanna Rodriguez Loaiza
359,05/04/2024,Joanna Rodriguez Loaiza
360,05/04/2024,Joanna Rodriguez Loaiza
361,05/04/2024,Joanna Rodriguez Loaiza
362,05/04/2024,Joanna Rodriguez Loaiza
363,05/04/2024,Joanna Rodriguez Loaiza
364,05/04/2024,Joanna Rodriguez Loaiza
365,05/04/2024,Joanna Rodriguez Loaiza
366,05/04/2024,Joanna Rodriguez Loaiza
367,05/04/2024,Rocío Carmona
368,05/04/2024,Joanna Rodriguez Loaiza
369,05/04/2024,Rocío Carmona
370,05/04/2024,Joanna Rodriguez Loaiza
371,04/04/2024,Ignacio Corral Aragón
372,02/04/2024,Ignacio Corral Aragón
373,05/04/2024,Pablo Mayoral
374,05/04/2024,Pablo Mayoral
375,08/04/2024,Pablo Mayoral
376,08/04/2024,Pablo Mayoral
377,05/04/2024,Pablo Mayoral
378,05/04/2024,Pablo Mayoral
379,05/04/2024,Pablo Mayoral
380,05/04/2024,Pablo Mayoral
381,05/04/2024,Pablo Mayoral
382,05/04/2024,Pablo Mayoral
383,05/04/2024,Pablo Mayoral
384,08/04/2024,Albert De Moya Palacio
385,08/04/2024,Albert De Moya Palacio
386,03/04/2024,Pablo Mayoral
387,08/04/2024,Albert De Moya Palacio
388,08/04/2024,Albert De Moya Palacio
389,08/04/2024,Albert De Moya Palacio
390,05/04/2024,Joanna Rodriguez Loaiza
391,05/04/2024,Joanna Rodriguez Loaiza
