journal_entry_id,gl_account_number,debit_credit_indicator
100000460,423000,H
100000464,625300,S
100000464,423000,H
100000464,625300,S
100000464,625300,S
100000464,625300,S
100000464,625300,S
100000464,625300,S
100000464,625300,S
100000466,51120914,S
100000466,51120914,H
100000467,641311,S
100000467,421000,H
100000468,641311,S
100000468,421000,H
100000469,641311,S
100000469,641311,S
100000469,421000,H
100000470,641311,S
100000470,421000,H
100000470,641311,S
100000471,487000,H
100000471,706100,S
100000472,445500,S
100000472,445602,H
100000472,445620,H
100000472,445310,S
100000472,445310,S
100000473,645160,S
100000473,645160,S
100000473,645160,S
100000473,645160,S
100000473,641100,S
100000473,641100,S
100000473,645160,S
100000473,645160,S
100000473,645160,S
100000473,645160,S
100000473,431000,H
100000473,431000,H
100000473,431000,H
100000473,431000,H
100000473,645218,S
100000473,641100,S
100000473,645218,S
100000473,645218,S
100000473,645218,S
100000473,641100,S
100000473,447300,H
100000473,421000,H
100000474,421000,H
100000474,641321,S
100000474,641321,S
100000474,641321,S
100000475,641321,S
100000475,641321,S
100000475,641321,S
100000475,421000,H
100000477,625300,S
100000477,625300,S
100000477,625300,S
100000477,625300,S
100000477,625300,S
100000477,625300,S
100000477,625300,S
100000477,423000,H
100000477,625714,S
100000477,625300,S
100000477,625300,S
100000477,625300,S
100000477,626130,S
100000477,625714,S
100000477,625714,S
100000477,625714,S
100000477,625711,S
100000477,625714,S
100000477,625711,S
100000477,625714,S
100000477,625714,S
100000477,625714,S
100000477,625714,S
100000477,625714,S
100000477,625300,S
100000477,625300,S
100000477,625300,S
100000477,625300,S
100000477,625300,S
100000477,625300,S
100000477,625300,S
100000477,625300,S
100000477,625714,S
100000477,625714,S
100000477,625714,S
100000478,625300,S
100000478,625714,S
100000478,625714,S
100000478,625714,S
100000478,625714,S
100000478,625714,S
100000478,625300,S
100000478,625300,S
100000478,625300,S
100000478,625300,S
100000478,423000,H
100000478,625300,S
100000478,625300,S
100000479,411100,H
100000479,401100,S
100000490,401100,S
100000490,401100,H
100000493,625300,S
100000493,625700,S
100000493,625300,S
100000493,625300,S
100000493,625300,S
100000493,625300,S
100000493,625300,S
100000493,625300,S
100000493,423000,H
100000493,625300,S
100000494,625700,S
100000494,625714,S
100000494,625300,S
100000494,625300,S
100000494,625300,S
100000494,625714,S
100000494,625714,S
100000494,625300,S
100000494,625714,S
100000494,625714,S
100000494,423000,H
100000494,625300,S
100000496,706513,H
100000496,408101,S
100000501,411100,H
100000501,501998,S
100000502,501998,H
100000502,401100,S
100000510,411100,H
100000510,501998,S
100000511,423000,H
100000511,623400,S
100000512,625300,S
100000512,625714,S
100000512,625714,S
100000512,423000,H
100000512,625300,S
100000512,625300,S
100000512,625300,S
100000512,625714,S
100000513,401100,S
100000513,501998,H
100000514,641100,H
100000514,401100,S
100000515,401100,S
100000515,641100,H
100000516,641100,H
100000516,401100,S
100000518,641100,H
100000518,401100,S
100000519,401100,S
100000519,641100,H
100000520,641311,S
100000520,421000,H
100000521,421000,H
100000521,641311,S
100000522,421000,H
100000522,641311,S
100000522,641311,S
100000523,421000,H
100000523,641311,S
100000523,641311,S
100000524,641311,H
100000524,421000,S
100000525,421000,S
100000525,641311,H
100000526,51120914,S
100000526,51120914,H
100000528,613500,H
100000528,615400,S
100000529,641321,S
100000529,641321,S
100000529,421000,H
100000529,641321,S
100000530,641321,S
100000530,641321,S
100000530,641321,S
100000530,421000,H
100000531,431000,H
100000531,645160,S
100000531,645218,S
100000531,645218,S
100000531,645218,S
100000531,645218,S
100000531,641310,S
100000531,641100,S
100000531,641100,S
100000531,641100,S
100000531,641100,S
100000531,645160,S
100000531,431000,H
100000531,641100,S
100000531,641100,S
100000531,641100,S
100000531,447300,H
100000531,645160,S
100000531,421000,H
100000531,645160,S
100000531,421000,H
100000531,421000,S
100000531,431000,H
100000531,431000,H
100000531,645160,S
100000531,645160,S
100000531,645160,S
100000531,645160,S
100000534,445310,H
100000534,445310,S
100000534,445310,S
100000534,445620,H
100000535,706513,H
100000535,408101,S
100000536,491000,S
100000536,491000,S
100000536,491000,S
100000536,681740,H
100000537,681740,S
100000537,491000,H
100000537,491000,H
100000537,491000,H
100000543,487998,H
100000543,487998,S
100000543,707100,S
100000544,626130,S
100000544,423000,H
100000552,51120914,S
100000552,51120914,H
100000565,423000,H
100000565,625300,S
100000566,615400,S
100000566,615400,S
100000566,613500,H
100000566,613500,H
100000567,628430,S
100000567,628430,H
100000567,628430,S
100000567,628430,H
100000569,625300,S
100000569,625300,S
100000569,625300,S
100000569,423000,H
100000569,625300,S
100000569,625714,S
100000570,706513,H
100000570,408101,S
100000571,423000,H
100000571,626130,S
100000577,51120914,S
100000577,451B23,H
100000581,423000,H
100000581,625714,S
100000581,625300,S
100000581,625300,S
100000581,625300,S
100000581,625300,S
100000581,625300,S
100000581,623400,S
100000581,625714,S
100000581,625300,S
100000585,421000,H
100000585,641311,S
100000586,421000,H
100000586,641311,S
100000586,641311,S
100000587,641311,S
100000587,641311,S
100000587,421000,H
100000588,641311,S
100000588,421000,H
100000589,641311,H
100000589,421000,S
100000590,641311,H
100000590,421000,S
100000591,641311,H
100000591,641311,H
100000591,421000,S
100000592,641311,H
100000592,641311,H
100000592,421000,S
100000593,51120914,H
100000593,51120914,S
100000595,411100,H
100000595,401100,S
100000596,641100,S
100000596,421000,H
100000596,421000,H
100000596,447300,H
100000596,645160,S
100000596,641310,S
100000596,431000,H
100000596,641310,S
100000596,641310,S
100000596,641310,S
100000596,645218,S
100000596,645218,S
100000596,641100,S
100000596,645160,S
100000596,645160,S
100000596,421000,H
100000596,641100,S
100000596,431000,H
100000596,431000,H
100000596,431000,H
100000596,645218,S
100000596,645218,S
100000596,645160,S
100000596,645160,S
100000596,645160,S
100000596,645160,S
100000596,645160,S
100000596,645160,S
100000596,641100,S
100000597,641321,S
100000597,641321,S
100000597,641321,S
100000597,421000,H
100000598,641321,S
100000598,421000,H
100000598,641321,S
100000598,641321,S
100000603,445310,H
100000603,445310,S
100000603,445620,H
100000603,445310,S
100000603,445602,H
100000605,645160,H
100000605,421000,S
100000607,625714,S
100000607,625714,S
100000607,625714,S
100000607,625714,S
100000607,625300,S
100000607,625711,S
100000607,625300,S
100000607,625300,S
100000607,625714,S
100000607,625300,S
100000607,625300,S
100000607,625300,S
100000607,625711,S
100000607,625714,S
100000607,625714,S
100000607,623400,S
100000607,423000,H
100000607,625714,S
100000607,625300,S
100000607,625300,S
100000607,625300,S
100000607,625300,S
100000607,625300,S
100000607,625300,S
100000607,625714,S
100000612,628430,S
100000612,628430,H
100000628,625300,S
100000628,423000,H
100000629,706542,S
100000629,408101,H
100000630,625300,S
100000630,423000,H
100000630,625300,S
100000630,625300,S
100000630,625714,S
100000630,625300,S
100000630,625300,S
100000630,625300,S
100000630,625300,S
100000630,625714,S
100000630,625714,S
100000630,625714,S
100000630,625714,S
100000630,625714,S
100000630,625714,S
100000630,625714,S
100000630,625714,S
100000630,625714,S
100000630,625714,S
100000630,625714,S
100000630,623400,S
100000630,625300,S
100000630,625300,S
100000630,625714,S
100000630,625300,S
100000630,625300,S
100000630,625714,S
100000630,625714,S
100000630,625714,S
100000630,625714,S
100000630,625714,S
100000630,625300,S
100000630,625714,S
100000630,625711,S
100000632,641311,S
100000632,421000,H
100000633,421000,H
100000633,641311,S
100000633,641311,S
100000634,421000,H
100000634,641311,S
