journal_entry_id,fiscal_year,period_number,prepared_by,entry_date
100000764,2024,7,W191062,29/07/2024
100000765,2024,7,W191062,29/07/2024
100000766,2024,7,W191062,29/07/2024
100000767,2024,7,W191062,29/07/2024
100000768,2024,7,W191062,29/07/2024
100000769,2024,7,W191062,29/07/2024
100000770,2024,7,W191062,29/07/2024
100000771,2024,7,W191062,29/07/2024
100000776,2024,7,W191062,31/07/2024
100000777,2024,7,W191062,31/07/2024
100000778,2024,7,W191062,31/07/2024
100000779,2024,7,W191062,31/07/2024
100000780,2024,8,W122814,01/08/2024
100000781,2024,7,W191062,01/08/2024
100000782,2024,7,W191062,01/08/2024
100000783,2024,7,W191062,01/08/2024
100000784,2024,7,W191062,01/08/2024
100000785,2024,8,W122814,02/08/2024
100000792,2024,8,W191062,09/08/2024
100000793,2024,8,W191062,09/08/2024
100000812,2024,8,W106467,14/08/2024
100000814,2024,8,W106467,14/08/2024
100000815,2024,8,W106467,14/08/2024
100000828,2024,8,W191062,27/08/2024
100000829,2024,8,W191062,27/08/2024
100000830,2024,8,W191062,27/08/2024
100000831,2024,8,W191062,27/08/2024
100000832,2024,8,W191062,27/08/2024
100000833,2024,8,W191062,27/08/2024
100000834,2024,8,W191062,27/08/2024
100000835,2024,8,W106467,27/08/2024
100000836,2024,8,EXPLOIT$U,28/08/2024
100000837,2024,8,W191062,28/08/2024
100000838,2024,8,W191062,28/08/2024
100000839,2024,8,W191062,28/08/2024
100000845,2024,8,W191062,02/09/2024
100000849,2024,9,W122814,04/09/2024
100000850,2024,9,W122814,04/09/2024
100000851,2024,9,W122814,04/09/2024
100000855,2024,9,W191062,10/09/2024
100000861,2024,9,W122814,18/09/2024
100000862,2024,9,W122814,18/09/2024
100000863,2024,9,W131635,19/09/2024
100000865,2024,9,W191062,20/09/2024
100000868,2024,9,W139415,24/09/2024
100000870,2024,9,W191062,24/09/2024
100000871,2024,9,W191062,24/09/2024
100000872,2024,9,W191062,24/09/2024
100000873,2024,9,W191062,24/09/2024
100000874,2024,9,W191062,25/09/2024
100000875,2024,9,W106467,25/09/2024
100000876,2024,9,W191062,25/09/2024
100000877,2024,9,W191062,25/09/2024
100000878,2024,9,W191062,26/09/2024
100000879,2024,9,W191062,26/09/2024
100000880,2024,9,W191062,26/09/2024
100000883,2024,9,EXPLOIT$U,27/09/2024
100000887,2024,9,W191062,27/09/2024
100000892,2024,9,W139415,01/10/2024
100000893,2024,9,W139415,01/10/2024
100000902,2024,10,W122814,07/10/2024
100000907,2024,10,W191062,10/10/2024
100000910,2024,10,W122814,11/10/2024
100000919,2024,10,W122814,16/10/2024
100000920,2024,10,W122814,16/10/2024
100000921,2024,10,W139415,17/10/2024
100000925,2024,10,W191062,22/10/2024
100000927,2024,10,W122814,23/10/2024
100000930,2024,10,W106467,24/10/2024
100000933,2024,10,W191062,25/10/2024
100000934,2024,10,W191062,25/10/2024
100000935,2024,10,W191062,25/10/2024
100000936,2024,10,W191062,25/10/2024
100000937,2024,10,W191062,25/10/2024
100000938,2024,10,W191062,25/10/2024
100000939,2024,10,W191062,25/10/2024
100000940,2024,10,W191062,25/10/2024
100000941,2024,10,W191062,26/10/2024
100000942,2024,10,W191062,26/10/2024
