journal_entry_id,posting_date,fiscal_year,prepared_by,description
100708902.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100708903.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100708904.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100708905.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100708906.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100708907.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100708908.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100708909.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100708910.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100708911.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100708912.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100708913.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100708914.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100708915.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100708916.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100708917.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100708918.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100708919.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100708920.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100708921.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100708922.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100708923.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100708924.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100708925.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100708926.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100708927.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100708928.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100708929.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100708930.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100708931.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100708932.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100708933.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100708934.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100708935.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100708936.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100708937.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100708938.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100708939.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100708940.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100708941.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100708942.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100708943.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100708944.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100708945.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100708946.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100708947.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100708948.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100708949.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100708950.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100708951.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100708952.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100708953.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100708954.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
